NAME,B26001_001E,B02014_001E,B16005_007E,B16005_008E,B16005_012E,B16005_013E,B16005_017E,B16005_022E,B16005_023E,B16005_029E,B16005_030E,B16005_034E,B16005_035E,B16005_039E,B16005_040E,B16005_044E,B16005_045E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,state,county,tract,YEAR
"Census Tract 7.12, Bernalillo County, New Mexico",0,355,9,0,0,0,0,0,0,22,23,0,0,19,0,0,0,161,40,0,184,79,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,6,35,001,000712,2018
"Census Tract 7.13, Bernalillo County, New Mexico",0,701,127,0,0,0,0,0,0,0,0,0,0,11,21,12,0,199,107,16,267,84,0,20,0,0,0,26,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,35,001,000713,2018
"Census Tract 1.15, Bernalillo County, New Mexico",24,429,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,112,113,16,148,115,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,001,000115,2018
"Census Tract 1.22, Bernalillo County, New Mexico",149,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,183,30,256,129,17,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,35,001,000122,2018
"Census Tract 1.24, Bernalillo County, New Mexico",171,322,4,0,0,0,0,0,0,38,0,0,0,0,0,0,0,162,34,16,196,80,15,0,0,14,11,0,0,0,7,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,6,4,35,001,000124,2018
"Census Tract 7.14, Bernalillo County, New Mexico",14,749,0,0,0,0,60,0,0,91,34,0,0,149,202,0,0,129,53,24,115,105,18,0,0,29,0,0,63,0,0,0,0,0,84,0,0,0,8,0,0,0,0,0,0,0,20,0,35,001,000714,2018
"Census Tract 11.02, Bernalillo County, New Mexico",0,109,0,0,0,0,0,0,0,99,84,0,0,11,0,0,0,141,14,0,132,42,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,001,001102,2018
"Census Tract 14, Bernalillo County, New Mexico",177,44,0,0,0,0,0,0,0,104,13,0,0,0,0,0,0,68,15,0,88,53,29,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,35,001,001400,2018
"Census Tract 1.29, Bernalillo County, New Mexico",0,251,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,160,37,14,389,174,0,0,0,0,0,0,0,0,0,14,0,0,12,0,0,32,0,0,0,0,0,0,0,0,0,0,35,001,000129,2018
"Census Tract 4.01, Bernalillo County, New Mexico",20,187,0,0,12,0,0,0,0,0,0,0,45,0,0,0,0,222,55,12,250,102,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,35,001,000401,2018
"Census Tract 2.08, Bernalillo County, New Mexico",0,248,6,0,0,0,0,0,0,61,0,0,0,0,0,0,0,61,22,12,104,46,11,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,35,001,000208,2018
"Census Tract 1.19, Bernalillo County, New Mexico",26,14,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,111,21,54,93,51,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,35,001,000119,2018
"Census Tract 1.20, Bernalillo County, New Mexico",0,196,0,0,0,0,0,0,0,10,27,0,0,0,0,0,0,78,37,7,154,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,9,35,001,000120,2018
"Census Tract 2.05, Bernalillo County, New Mexico",0,281,43,62,0,0,0,0,0,66,29,0,0,0,0,0,0,67,92,22,73,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,35,001,000205,2018
"Census Tract 6.04, Bernalillo County, New Mexico",366,282,8,0,0,0,11,9,0,214,153,0,0,0,0,0,0,127,85,29,64,52,0,0,0,0,8,0,7,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,16,35,001,000604,2018
"Census Tract 21, Bernalillo County, New Mexico",112,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,20,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,001,002100,2018
"Census Tract 23, Bernalillo County, New Mexico",28,54,0,53,0,0,0,0,0,296,520,0,0,0,0,0,0,218,183,18,356,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,32,0,35,001,002300,2018
