NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03003_003E,B03003_002E,B21001_001E,B01001_025E,B01001_049E,state,county,tract,block group,YEAR
"Block Group 1, Census Tract 10, Eddy County, New Mexico",1614,0,3,0,0,30,0,0,0,1614,0,3,0,0,30,1200,447,976,14,7,35,015,001000,1,2018
"Block Group 2, Census Tract 25, Bernalillo County, New Mexico",1477,0,0,0,0,34,184,184,0,1486,0,0,175,0,218,1340,355,1169,0,0,35,001,002500,2,2018
"Block Group 1, Census Tract 9707, Valencia County, New Mexico",975,0,22,0,0,248,0,0,0,975,0,22,0,0,248,746,499,874,55,68,35,061,970700,1,2018
"Block Group 1, Census Tract 44.01, Bernalillo County, New Mexico",1900,46,34,0,0,267,10,0,10,1910,56,44,0,0,267,2033,224,1715,24,39,35,001,004401,1,2018
"Block Group 2, Census Tract 47.12, Bernalillo County, New Mexico",1731,48,0,18,0,652,0,0,0,1731,48,0,18,0,652,2225,224,1761,0,0,35,001,004712,2,2018
"Block Group 1, Census Tract 9437, McKinley County, New Mexico",2,0,836,0,0,0,8,0,8,5,5,844,0,0,0,0,846,645,5,6,35,031,943700,1,2018
"Block Group 1, Census Tract 9457, McKinley County, New Mexico",92,11,1347,0,0,0,17,0,17,95,11,1358,14,14,0,10,1457,1017,0,7,35,031,945700,1,2018
"Block Group 3, Census Tract 4.02, Otero County, New Mexico",592,46,0,148,0,87,0,0,0,592,46,0,148,0,87,196,677,610,23,22,35,035,000402,3,2018
"Block Group 3, Census Tract 5, Otero County, New Mexico",377,0,12,0,62,11,0,0,0,377,0,12,0,62,11,61,401,412,0,0,35,035,000500,3,2018
"Block Group 1, Census Tract 6.02, Otero County, New Mexico",2524,68,91,93,0,9,81,0,81,2605,89,131,134,0,9,666,2200,2210,17,20,35,035,000602,1,2018
"Block Group 3, Census Tract 7, Otero County, New Mexico",595,78,0,0,0,86,16,0,16,611,78,16,0,0,86,328,447,738,56,20,35,035,000700,3,2018
"Block Group 2, Census Tract 9742.01, Cibola County, New Mexico",576,37,440,23,0,197,56,0,56,632,37,496,23,0,197,741,588,934,13,20,35,006,974201,2,2018
"Block Group 1, Census Tract 9415, Cibola County, New Mexico",3,0,379,0,6,0,0,0,0,3,0,379,0,6,0,28,360,319,5,6,35,006,941500,1,2018
"Block Group 1, Census Tract 107.12, Sandoval County, New Mexico",1395,38,138,5,0,128,46,46,0,1441,38,138,5,0,174,467,1283,1313,5,10,35,043,010712,1,2018
"Block Group 4, Census Tract 107.12, Sandoval County, New Mexico",763,34,13,26,0,106,224,108,116,944,34,98,69,31,214,578,588,936,0,0,35,043,010712,4,2018
"Block Group 1, Census Tract 9405, Sandoval County, New Mexico",505,0,21,0,0,161,6,3,3,511,0,24,0,0,164,564,129,547,3,10,35,043,940500,1,2018
"Block Group 2, Census Tract 105.03, Sandoval County, New Mexico",620,28,85,0,0,333,17,0,17,637,28,85,17,0,333,766,317,997,0,21,35,043,010503,2,2018
