NAME,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001H_014E,B01001H_015E,B01001H_016E,B01001H_029E,B01001H_030E,B01001H_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,county,tract,YEAR
"Census Tract 13.04, Santa Fe County, New Mexico",2,1,0,0,4,0,0,4,0,0,8,7,0,7,9,2,16,0,6,16,10,0,35,049,001304,2015
"Census Tract 102.03, Santa Fe County, New Mexico",0,0,14,0,0,0,0,0,0,0,92,43,0,87,15,23,24,0,0,26,28,0,35,049,010203,2015
"Census Tract 102.04, Santa Fe County, New Mexico",0,8,0,0,0,0,0,0,0,0,266,74,0,286,22,22,11,0,0,16,0,0,35,049,010204,2015
"Census Tract 103.09, Santa Fe County, New Mexico",0,22,0,0,8,0,0,0,0,0,88,96,0,137,47,5,37,10,0,31,6,0,35,049,010309,2015
"Census Tract 103.10, Santa Fe County, New Mexico",0,0,0,0,10,0,0,0,0,0,50,27,31,98,13,40,15,7,0,8,0,0,35,049,010310,2015
"Census Tract 103.11, Santa Fe County, New Mexico",0,11,0,0,0,4,0,24,0,0,165,55,14,178,30,30,72,0,0,31,11,0,35,049,010311,2015
"Census Tract 103.12, Santa Fe County, New Mexico",0,0,0,0,21,0,0,0,0,0,217,72,0,211,33,8,41,21,8,61,0,0,35,049,010312,2015
"Census Tract 103.14, Santa Fe County, New Mexico",0,2,0,0,0,2,0,3,6,0,72,19,3,54,33,7,3,7,0,5,0,0,35,049,010314,2015
"Census Tract 4, Chaves County, New Mexico",14,10,72,0,0,0,0,12,0,0,35,37,18,67,42,0,35,61,14,67,87,0,35,005,000400,2015
"Census Tract 3, Chaves County, New Mexico",0,54,0,0,0,0,0,0,0,0,300,53,57,224,164,79,41,45,59,87,16,16,35,005,000300,2015
"Census Tract 13, Chaves County, New Mexico",0,6,8,0,0,0,0,2,3,0,14,30,3,26,26,20,31,11,0,49,15,0,35,005,001300,2015
"Census Tract 14, Chaves County, New Mexico",0,27,2,8,0,4,0,0,3,0,49,32,12,34,48,10,36,30,23,62,26,8,35,005,001400,2015
"Census Tract 6, Chaves County, New Mexico",0,16,19,0,0,13,0,0,0,0,49,40,0,39,26,0,110,54,9,171,95,7,35,005,000600,2015
"Census Tract 7, Chaves County, New Mexico",0,35,18,12,8,0,0,9,0,0,58,77,9,107,82,49,96,12,0,103,54,33,35,005,000700,2015
"Census Tract 8, Chaves County, New Mexico",0,17,0,0,0,0,0,10,0,0,95,100,78,136,199,27,100,24,0,82,27,7,35,005,000800,2015
"Census Tract 5, Chaves County, New Mexico",0,13,5,0,0,0,0,0,0,0,4,18,4,22,23,11,29,10,19,24,5,0,35,005,000500,2015
"Census Tract 3, Lea County, New Mexico",0,10,0,0,0,0,0,0,0,0,55,0,0,21,12,0,49,0,11,61,12,41,35,025,000300,2015
"Census Tract 6, Lea County, New Mexico",32,0,22,0,0,0,0,0,0,0,98,83,54,200,177,52,87,41,32,58,45,8,35,025,000600,2015
"Census Tract 9, Lea County, New Mexico",0,0,0,0,0,0,0,0,0,0,48,53,8,62,49,3,42,12,0,59,9,13,35,025,000900,2015
"Census Tract 8, Lea County, New Mexico",0,4,0,0,0,8,0,0,0,0,87,50,9,97,36,6,32,9,0,29,0,0,35,025,000800,2015
"Census Tract 10.03, Lea County, New Mexico",0,0,0,0,0,0,0,0,0,0,64,63,87,44,149,0,26,0,0,36,0,0,35,025,001003,2015
"Census Tract 1, Lea County, New Mexico",0,1,0,0,0,0,0,0,0,0,38,5,1,8,16,5,34,12,0,34,0,0,35,025,000100,2015
